a | zu, an, bei
sauciere | Sauciere
Saudi Arabia | Saudi-Arabien
sauerkraut | Sauerkraut
savagi | wild, ungesittet, scheu
savagia | Wildnis
savagio | Wilder
savagitá | Wildheit
savent | wissend
saventie | Wissen
saver | wissen
savurar | kosten, schmecken
savurosi | geschmackreich, köstlich
Saxonia | Sachsen
saxonic | sächsisch
saxofon | Saxofon
scabelle | Schemel
scabie | Krätze, Räude
scabiosi | krätzig, räudig
scadentie | Verfallen, Auslaufen
scader | verlaufen (Wechsel usw.), auslaufen
scaf | Schrank, Kasten
scafalde | Baugerüst
scafandre | Tauchanzug
scafandriero | Taucher (professioneller)
scafote | Schafott
scaladar | (mit Leitern) ersteigen, erstürmen
scaldar | erhitzen
scale | Leiter
scaliere | Treppe
scaliere tornant | Wendeltreppe
scalp | Kopfhaut, Skalp
scalpar | skalpieren
scalpel | Skalpell
scalun | Treppenstufe, Leiterstufe
scandale | Skandal
scandalisar | skandalisieren
scandalosi | skandalös
scander | scannen, abtasten
Scandinavia | Skandinavien
scansion | Scannen, Abtasten
scapul | Schulterblatt
scarabé | Käfer
scarificar | schröpfen, ängstigen
scarification | Schröpfung
scarificator | Schröpfer
scarlat | scharlachfarben
scarlatine | Scharlach (Krankheit)
scarmuche | Scharmützel, Geplänkel (mil.)
scarp | steil, abschüssig
scarpar | schräg abfallen, neigen
scarpe | Steilhang, Böschung
scarsi | karg
scatulle | Schatulle
schema | Schema
schematic | schematisch
schisma | Schisma, Spaltung
schismatic | schismatisch
schist | Schiefer
scholastic | scholastisch
scene | 1. Szene, 2.Bühne
scenic | szenisch
sceptic | skeptisch
scepticisme | Skeptizismus
sceptico | Skeptiker
sceptre | Zepter
sciática | Ischias
sciential | wissenschaftlich
scientic | wissenschaftlich
scientie | Wissenschaft
scientie natural | Naturwissenschaft
scientific | wissenschaftlich
scientist | Wissenschaftlers
scintillar | Funken sprühen
scintillation | Sprühen (Funken)
scintille | Funke
sclavage | Versklavung
sclaveríe | Sklaverei
sclavic | sklavisch
sclavitá | Sklaventum, Sklaverei
sclavo | Sklave
sclusar | schleusen
scluse | Schleuse
sclusero | Schleuser, Schleusenwärter
scol de perfectionament | Fortbildungsschule
scola | Schule (Schulgebäude)
scolari | schulisch
scole | Schule (System, Lehre)
scolero | Schüler
scope | Ziel, Zweck
scorpion | Skorpion
Scotia | Schottland
scottish | Schottisch (Tanz)
scout | Scout, Pfadfinder, Späher
scoutisme | Pfadfindertum
scrapar | abkratzen
scrapette | Raspel, Reibeisen
scrappuore | Raspel, Reibeisen
scren | Bildschirm
scri-machine | Schreibmaschine
scri-maniere | Handschrift, Schreibweise
scriachar | schmieren, kritzeln
scrir | schreiben
scri-table | Schreibtisch
scrite | Schrift
scrition | Schreibung
scritiv | schriftlich
scritor | Schreiber
scrituore | Schreibzeug, Schreibtisch
scritura | Schrift
scrupul | Skrupel, Bedenken
scrupulosi | skrupelhaft
scrupulositá | Skrupelhaftigkeit
scrutine | Untersuchung, Prüfung
scruv | Schraube
scruv-forette | Handbohrer
scruv-tornator | Schraubenzieher
scruvar | schrauben
scruvation | Schrauben
scruviere | Schraubenmutter
scud | Schild, Thaler
scudell | Napf
scudero | Knappe
sculpter | aushauen, schnitzen
sculptor | Bildhauer
sculptura | Skulptur
scum | Schaum
scumant | schäumend
scumar | schäumen
scumear | aufschäumen
scumosi | schäumend
scunc | Stinktier
scune | Schoner (Schiff)
scurar | scheuern
scurel | Eichhörnchen
scuril | skurril, possenhaft
scurilitá | Skurrilität, Possenhaftigkeit
se | sich (Reflexivpronomen 3. Pers. Sgl. und Pl.)
sebe | Talg, Unschlitt
sebic | talgig
sebosi | talgig, voller Talg
secale | Roggen
secluder | absperren, absondern
seclusion | Absperrung, Abgeschiedenheit
seconde | Sekunde
secreer | ausscheiden
secret | geheim, heimlich
secretario | Sekretär
secrete | Geheimnis
secretion | Ausscheidung
secretori | sekrethaft
secta | Sekte
sectari | sektiererisch, sektenhaft
sectano | Sektenanhänger, Sektierer
sectant | sektiererisch
sectario | Sektierer
secter | schneiden, wegschneiden, abschneiden, durchschneiden
section | Sektion
sector | Sektor
secul | Jahrhundert
seculari | säkular
secularisar | säkularisieren
secun | gemäß, laut
secun mi opinion | meiner Meinung nach
secund | zweiter
secundante | Sekundant (Duell)
secur | sicher
securar | sichern
securitá | Sicherheit
sedative | Beruhigungsmittel
sede | Sitzplatz
sedentar se | sich hinsetzen, sich setzen
seder | sitzen
sediment | Bodensatz, Niederschlag
sedimentari | sedimentär
sedition | Aufruhr, Aufstand
seditiosi | aufrührerisch
sedlar | satteln
sedlation | Sattelung
sedlería | Sattlerei
sedlero | Sattler
sedle | Sattel
seducter | verführen
seduction | Verführung
seductiv | verführerisch
seductor | Verführer
sega | Säge
segallia | Sägemehl
segar | sägen
segarería | Sägewerk
sagation | Sägen
saguore | Säge
seglar | segeln
seglation | Segeln
seglator | Segler
segle | Segel
segle-drap | Segeltuch
segle-pal | Rah, Rahe (Segeln)
seglero | Segler
sejorn(e) | Aufenthalt
sejornar | sich aufhalten
selecter | aussuchen
selection | Auswahl
selectiv | selektiv
selerí | Sellerie
self | selbst
self-confidentie | Selbstvertrauen
self-conscient | selbstbewusst
self-mortation | Selbsttötung
self-satisfat | selbstzufrieden
semafore | Küstentelegraph
semanal | wöchentlich
semane | Woche
semar | säen
semblant | anscheinend, scheinbar
semblantie | Anschein, Schein
semblar | scheinen, erscheinen, den Anschein haben
semar | sähen
semation | Sähen
seme | Same
semero | Säher
semestre | Semester
semi | halb
seminarie | Seminar
semol | Grieß
sempre | immer
senat | Senat
senator | Senator
senil | senil, greisenhaft
senilitá | Senilität, Greisenhaftigkeit
senior | 1. als Substantiv: Herr, 2 als Adjektiv: älter
seniora | Frau (Anrede)
senioretta | Fräulein
sensation | Sensation
sensational | sensationell
sense | Sinn, Bedeutung
sensibil | sensibel, empfindungsfähig
sensitiv | sensitiv
sensu | Sinn (physisch)
sensual | sinnlich, lustbetont
sensualisme | Sinnlichkeit, Lust
sentenciar | bestrafen, verurteilen
sentencie | Urteil, Sittenspruch, Lehrspruch
sentibil | spürbar
sentie | Gefühl, Empfindung
sentimemental | empfindlich, sentimental
sentiment | Gefühl, Empfindung
sentiment | Gefühl
sentinelle | Schildwacht
sentir | fühlen, empfinden
sentir li manca de | vermissen
sepal | Kelchblatt
separar | trennen
separat | separat, getrennt
separation | Trennung, Teilung
separativ | trennend
septembre | September
septic | septisch
sepulter | beerdigen
sepultor | Totengräber, Bestatter
sepultoria | Friedhof
sepultura | Grab
sequent | nächster, folgender
sequentie | Folge, Abfolge, Sequenz
sequer | folgen
sequestar | abkapseln
sequioa | Mammutbaum
serái | Serail
serb | Serbisch, serbisch
Serbia | Serbien
sercha | Suche
serchar | suchen
serchero | Sucher
seren | heiter, froh
serenade | Serenade, Abendmusik
serenitá | Heiterkeit, Frohsinn
sergente | Feldwebel, Sergeant, Wachtmeister
serial | seriell
serie | Serie
serine | Kanarienvogel
seriosi | ernst, ernsthaft, bedenklich
sermon | Predigt
sermonar | predigen
seriositá | Ernst, Ernsthaftigkeit
serpent | Schlange
serpentar | schlängeln
serpentear | sich winden, sich schlängeln
serrar | pressen, einklemmen, staff anziehen
serratura | Verschluss
serrure | Schloss, Türschloss
serrureríe | Schlosserei
serrurero | Schlosser
serum | Serum
serum de lacte | Molke
serva | Leibeigene
servage | Leibeigenschaft
servero | Kellner, Diener
service | Geschirr, Besteck, Tischgeschirr
servicie | Dienst
servient | dienstbar
serviette | Serviette
servil | servil, knechtisch, niedrig
servilitá | Servilität
servir | dienen, bedienen, auftragen, nützen
servir se | sich bedienen
servitor | Steward, Diener
servitutario | Leibeigener
servitute | Dienstbarkeit
servo | Leibeigener
seson | Jahreszeit
session | Sitzung
sestra | Schwester
seta | Seide
setin | seidern, aus Seide
sete | Durst
setosi | durstig
sett | sieben, 7
settant | siebzig, 70
settantario | Siebzigjähriger
settantesim | siebzigster
settcent sixantquin | siebenhundert fünfundsechzig, 765
settesim | siebter
severi | streng, hart
sextante | Sextant
sexu | Geschlecht
sexual | sexuell, geschlechtlich
sexualitá | Sexualität
sfere | Sphäre
sferic | sphärisch
sfinxe | Sphinx
shampun | Shampoo
short | Shorts
si | wenn, falls, ob
si ne | andernfalls, wenn nicht
sibilar | zischen
sicc | trocken
siccar | abtrocknen, trocknen
siccaration | Trocknung
siccitá | Trockenheit
siccore | Trockenheit, Dürre
Sicilia | Sizilien
siesta | Siesta, Mittagspause
siffla | Pfeifen
sifflada | Pfeifen, Gepfeife
sifflar | pfeifen
siffluore | Pfeife
sifilise | Syphilis
signalar | signalisieren
signale | Signal
signar | unterschreiben
signatario | Unterzeichner
signatura | Unterschrift
signar | kennzeichnen, unterschreiben, unterzeichnen
signe | Zeichen
significar | bedeuten
signification | Bedeutung
silent | schweigsam, still
silentie | Schweigen, Stille
silentiosi | schweigsam, still
silf | Elfe
silfa | Luftgeist, Elfe
silica | Kieselerde
silicate | Silikat
silice | Kieselerde
silk | Seide
silkin | aus Seide, Seiden-
sill | Schwelle
síllabe | Silbe
silo | Silo
siluette | Silhouette
silva | Wald
silvin | Wald-
silvosi | bewaldet
simbiose | Symbiose
simbol | Symbol
simbolic | symbolisch
simbolisar | symbolisieren
simbolisme | Symbolismus
simetric | symmetrisch
simetrie | Symmetrie
simfonic | symphonisch
simfonie | Symphonie
simian | Menschenaffe
simiatri | affenhaft
simie | Affe
simiesc | affig
simil | ähnlich, gleichartig
similar | ähneln, gleichen
similitá | Ähnlichkeit
simio | Affe
simpatic | sympathisch
simpatíe | Sympathie
simplesse | Einfachheit
simplic | einfach, einfältig
simplicitá | Einfachheit, Einfalt
simplificar | vereinfachen
simplification | Vereinfachung, Simplifizierung
simplon | Einfaltspinsel
simposium | Symposium
simptoma | Symptom
simtomatic | symptomatisch
simular | simulieren
simulation | Simulation
simultan | simultan, gleichzeitig
simultanitá | Gleichzeitigkeit
sin | ohne
sinagoga | Synagoge
sinap | Senf
sinceri | aufrichtig
sincope | Synkope
sincronisar | synchronisieren
sincronisation | Synchronisation
sindical | gewerkschaftlich
sindicalisme | Syndikalismus
sindicate | Gewerkschaft
sindicatu | Syndikat
sindico | Rechtsbeistand, Konkursverwalter, Bürgermeister (frz. Schweiz)
sinecura | Sinekure (einträgliches Amt ohne eigentliche Arbeit)
singlutar | schluchzen
singul | einzelne
singulare | Singular
singulari | singulär, einzigartig
singularitá | Singularität, Einzigartigkeit
sinistri | Unheils verkündend, unheimlich
sinistrosi | unheimlich
sinlabor | arbeitslos
sinlaborar | arbeitslos sein
sinode | Synode
sinonim | sinnverwandt, synonym
sinopse | Synopse, Verknüpfung
sinoptic | synoptisch
sintactic | syntaktisch
sintaxe | Syntax, Satzbau
sintese | Synthese
sintetic | synthetisch
sinu | Busen
sinuosi | sich schlängelnd
sinuositá | schlängelnde Bewegung
sinus | Sinus (math.)
sinushalter | BH, Büstenhalter
sirana | Sirene (mythologisch)
sirene | Sirene
Siria | Syrien
sirop | Sirup
siroposi | sirupartig
sirotar | nippen
sisme | Erdbeben
sismologo | Seismologe
sismologie | Seismologie
sistema | System
sistema solari | Sonnensystem
sistematic | systematisch
sistematisar | systematisieren
sitell | Eimer
situar | hinsetzen, hinstellen
situation | Situation
sive ... sive | sei es, dass
six | sechs, 6
sixant | sechzig, 60
sixantesim | sechzigster
sixesim | sechster
sixtene | Schock
siyill | Siegel
siyillar | besiegeln
siyallation | Siegelung
ski | Ski
ski-saltation | Skispringen
skiar | Ski fahren
slamm | Schlamm
slammiera | Schlammgrube
slang | Slang, Rotwelsch
slava | Slawin
slavic | slawisch
slavo | Slawe
slif-petre | Schleifstein
slifar | schleifen
slifuore | Schleifstein
slingar | schleudern
slip de balne | Badehose
slitt | Schlitten
slittar | gleiten, schlittern
slittation | Schlittern, Rodeln
slittuore | Schlitten
Slovakia | Slowakei
Slovenia | Slowenien
smeralde | Smaragd
smeril | Schmirgel
slifflada | Schnüffeln, Schnuppern
sniffar | schnüffeln, schnuppern
sniffle-tabac | Schnupftabak
soaré | Abendgesellschaft
sobri | nüchtern, mäßig
sobritá | Nüchternheit
social | sozial
socialisme | Sozialismus
socialist | Sozialist
societá | Gesellschaft, Gemeinschaft
societé | Gesellschaft
societé actionari | Aktiengesellschaft
sociologie | Soziologie
socle | Sockel, Untersatz
soda | Soda
sofa | Sofa
sofflar | hauchen, wehen
soffle | Hauch, Odem, Wehen (des Windes)
sofist | Sophist
sofistica | Sophistik
sofisticar | sophistizieren
sofisme | Sophismus
soldate | Soldat
soldatesca | Soldateska
sol | allein, nur, bloß
solari | Sonnen-, solar
soldo | Fünf-Centime-Münze
sole | Sonne
solecisme | Sprachfehler, Verstoß gegen den Syntax
soledí | Sonntag
solemni | feierlich
somlemnitá | Feierlichkeit
solicitar | sich bewerben, bitten um, ansuchen
solicitator | Antragsteller, Bewerber
solicitation | Bewerbung, Antrag
solicitude | Sorgfalt, Fürsorge
solidari | solidarisch
solidaritá | Solidarität
solidificar | festmachen, fest werden
solist | Solist
solitá | Einsamkeit
solitari | einsam, allein, unbewohnt, einzeln
solitario | Einzelgänger
solmen | nur
solo | Solo
solsticie | Sonnenwende
soluer | lösen
soluibil | lösbar
soluibilitá | Lösbarkeit
solution | Lösung
solutive | Lösungsmittel (chem.)
somniar | träumen
somnambular | schlafwandeln
somnambulisme | Schlafwandeln
somnambulist | Schlafwandler
somnie | Traum
somnieríe | Träumerei
somnion | Träumer
somniosi | träumerisch, verträumt
sómnit(e) | Gipfel
somnolent | schläfrig, schlaftrunken
somnolentie | Schläfrigkeit, Schlaftrunkenkeit
somnoler | schlaftrunken sein
son | Klang, Ton
sonar | klingen
sonata | Sonate
sonation | Tönen, Klingen
sondar | untersuchen
sonde | Sonde, Senkblei
sonette | Klingel
sonetto | Sonett
sonori | klangvoll, tönend, klingend
sonosi | klingend, klangvoll, laut
sonserpente | Klapperschlange
sonuore | Klingel
soprano | Sopranist
sorbir | schlürfen
sorciar | zaubern
sorcie | Zauber
sorciera | Hexe
sorcieríe | Hexerei, Zauberei
sorciero | Magier
sordesse | Schmutzigkeit
sordid | schmutzig, geizig, filzig
sordidage | Schmutz, Dreck
sordidar | beschmutzen
sorte | Art, Sorte
sortiment | Auswahl, Sortiment
sortir | sortieren
sosie | Doppelgänger
sospirar | seufzen
sospire | Seufzer
sovente | oft
soverani | souverän
soveranitá | Souveränität
soverano | Herrscher
spacial | räumlich
spacie | Raum, Fläche
spaciosi | geräumig, bequem, breit
spadar | mit dem Spaten graben, schaufeln
spade | Spaten
sparniage | Ersparnis
sparniar | sparen
sparro | Sperling
spasma | Krampf, Spasma, Zuckung
spasmatic | krampfhaft, spasmatisch
spatul | Spatel
sparvero | Sperber
special | besonders, speziell, Sonder-
specialisar | spezialisieren
specialisation | Spezialisierung
specialist | Spezialist
specialitá | Spezialität
specie | Art, Gattung
specific | spezifisch
specificar | spezifizieren
specimen | Probe, Muster
spectacul | Vorstellung, Anblick, Schauspiel
spectaculari | spektakulär
spectar | zuschauen, betrachten
spectator | Zuschauer
spectre | Gespenst, Spektrum
specular | spekulieren
speculation | Spekulation
speculativ | spekulativ
speculator | Spekulant
spegul | Spiegel
spegular | spiegeln
sperma | Sperma
spess | dick
spessore | Dicke
spiar | spähen
spion | Spion
spionar | spionieren
spionage | Spionage
spica | Ähre
spicat | scharf, gewürzt
spice | Gewürz
spicear | würzen
spicería | Lebensmittelladen
spicero | Lebensmittelhändler
spin-crusbere | Stachelbeere
spine | Dorn, Stachel
spine dorsal | Rückgrat
spinace | Spinat
spindle | Spindel
spinosi | stachelig
spion | Spion
spira | Atem
spiral | Spiral-
spirale | Spirale
spirar | atmen
spiration | Atmung
spirite | Geist (überirdisches Wesen)
spiritisme | Spiritismus
spiritist | Spiritist, Geisterbeschwörer
spíritu | Geist, Seele, Verstand
spíritu del epoca | Zeitgeist
spiritual | geistig
spirituosi | geistreich
splen | Milz
splendent | glänzend
splender | leuchten, glänzen
splendid | leuchtend, glänzend
splendore | Glanz, Leuchten
splint | Scheit
splittrar | splittern
splittre | Splitter
spoliar | berauben
spoliation | Plünderung, Raub
sponder | verloben
spongatri | schwammartig
spongie | Schwamm
spongiosi | schwammig
sponsa | Braut
sponsaria | Brautjungfer
sponso | Bräutigam
spontan | spontan, freiwillig
spontanitá | Spontanität, Freiwilligkeit
spor | Spore
sporadic | sporadisch, einzeln auftretend
sporn | Sporn, Ansporn
spornar | anspornen
sport | Sport
sportist | Sportler
sportmann | Sportler
sprat | Sprotte (Fisch)
sprite | Spiritus, Sprit
spritosi | Spiritus haltig
spruzza | Strahl (einer Flüssigkeit)
spruzzalia | Spray
spruzzar | spritzen
spruzzette | Sprinkler
spruzzuore | Spritze
spule | Spule
spular | spulen
sputage | Spucke, Speichel
sputar | spucken
sputiere | Spucknapf
sqadron | Schwadron
squale | Haifisch
squall | jäher Windstoß
squame | Schuppen (von Fischen und Reptilien)
squatre | Winkelmaß
squerma | Fechtkunst
squermar | fechten
squermation | Fechten
squermator | Fechter
squelette | Skelett
stabil | stabil
stabilisar | stabilisieren
stabilitá | Stabilität
stadie | Stadium, Phase
stadion | Stadion
stagnant | stillstehend
stagnar | stillstehen
stagnation | Stillstand, Stagnation
stagne | Teil, Weiher
stal | Stahl
stalacmite | Stalagmit
stalactite | Stalaktit
stalar | stählen
stalin | stählern
stalle | Stall
stallon | Hengst
stámine | Staubfaden
stamp | Stempel
stampar | stempeln
stampation | Stempeln
stampatura | Stempel
standa | Befinden, Gesundheitszustand
standar bon | gut gehen
standar | sich befinden, gehen
stanniol | Silberpapier, Alufolie
stanno | Zinn
stantar se | aufstehen
staplar | stapeln
staple | Stapel
star | stehen
star in linea | anstehen
starant | stehend
staration | Stehen
starativ | stehend
startar | starten
starte | Start
statal | staatlich
state | Staat
static | statisch
statica | Statik
station | Bahnhof, Haltestelle
statmann | Staatsmann
statu | Zustand, Status
statual | Zustand-
statuer | festsetzen, bestimmen, anordnen
statura | Wuchs, Statur, Figur
statutari | Statuts-, Geschäftsordnungs-
statute | Geschäftsordnung
stellari | Sternen-
stelle | Stern
stelte | Stelte
step- | Stief-
stepfilia | Stieftochter
stepfilio | Stiefsohn
stepmatre | Stiefmutter
steppatre | Stiefvater
stercar | düngen
sterco | Mist, Kot, Dünger
stere | Ster (Maß)
steril | steril, unfruchtbar, unproduktiv
sterilitá | Sterilität, Unfruchtbarkeit
sterilisar | sterilisieren
sterilisation | Sterilisation
sterlete | Sterlet, Zwergstörs
sternutar | niesen
sternutation | Niesen
stigma | Stigma, Wundmal, Brandmal. Narbe
stigmatic | stigmatisch
stigmatisar | stigmatisieren
stil | Stil
stilist | Stilist
stilistica | Stilistik
stiló | Füller
stiló a bul | Kugelschreiber
stimul | Anreiz
stimular | stimulieren, einen Anreiz geben
stimulation | Stimulation
stimulativ | stimulativ
stipendie | Stipendium
stirmann | Steuermann
stipite | Stängel
stir | Steuer
stir-rote | Lenkrad
stirar | steuern
Stiria | Steiermark
stirian | steiermärkisch
stivar | stauen
stivation | Stauung
stock | Warenlager, Lager
stoffe | Stoff, Materie
stoic | stoisch
stoicisme | Stoik
stoico | Stoiker
stola | Stola
stomacal | Magen-
stomac | Magen
stoppar | stoppen, anhalten
stopple | Stoppel
storc | Storch
storm | Sturm
stormear | stürmen
stormosi | stürmisch
stovar | dampfen, schmoren
strab | schielend
strabar | schielen
strada | Straße
stradette | Gasse
stradlaterne | Straßenlaterne
stramplada | Gestrampel
stramplar | strampeln
strandar | stranden
strangi | seltsam, merkwürdig
strangitá | Merkwürdigkeit
strangular | erwürgen, strangulieren
strangulation | Erwürgen, Strangulieren
strap | Riemen, Schlinge
strapaciar | strapazieren
strapacie | Strapaze
strapaciosi | strapaziös
stratagema | Kriegslist, Kunstgriff
strate | Schicht
strategie | Strategie
stratego | Stratege
stratificar | schichten
stratification | Schichtung
strax | sofort
strec | Strich
strecar | streichen
strett | eng
strette | Enge
striar | abstreifen, ausziehen
stricnine | Strychnin
strict | streng, strikt
strictesse | Strenge, Striktheit
strident | gellend, kreischend
stridenter | kreischen, schreien
stridentie | Geschrei, Gekreische
strie | Streifen, Abstreifen, Ausziehen
strigul | Striegel
strigular | striegeln
stripp | Steigbügel
stroc | Handstreich
struce | Strauß (Vogel)
strucear | herumstolzieren, prahlen
structura | Struktur
structural | strukturell
struma | Kropf
strump | Strumpf
strumpettes | Socken
stucca | Stuck
stuccar | mit Stuck versehen
stuccation | Stuckatierung
stuccator | Stuckateur
studiatoria | Studierzimmer
studiante | Student
studiar | studieren
studie | Studium
stuffage | Stopfung, Polsterung
stuffar | stopfen, polstern
stul | Stuhl
stult | dumm
stulteríe | Dummheit
stultesse | Dummheit
stulto | Dummkopf
stulton | Dummkopf
stump | Stummel, Stumpf
stumpat | verkümmert, zurückgeblieben
stupend | verblüffend
stupefant | bestürzend
stupefar | auf höchste erstaunen, bestürzt sein
stupefation | Erstaunen
stuper | verblüffen
stupid | doof, stumpfsinnig
stupiditá | Dummheit, Stumpfsinn
stupore | Benommenheit
stupp | Werg
stur | Stör (Fisch)
sturn | Star (Vogel)
su | sein, ihr (Possessivpronomen 3. Pers. Sgl.)
suavi | lieblich, köstlich, anmutig, liebenswürdig
suavitá | Anmut, Liebenswürdigkeit
sub | unter
sub oficero | Unteroffizier
subborg | Vorstadt
subcamise | Unterhemd
subit | plötzlich (adj.)
subitmen | plötzlich (adv.)
subjecte | Untertan, Subjekt
subjecter | unterwerfen
subjection | Unterwerfung
subjectiv | subjektiv
subjectivitá | Subjektivität
subjugar | unterjochen, unterwerfen
subjugation | Unterjochung, Unterwerfung
subjunctive | Konjunktiv
sublevar | aufheben, aufwerfen, in Wallung bringen, aufwiegeln
sublevation | Aufheben
sublim | erhaben, prächtig, überragend
sublimar | sublimieren
sublimitá | Erhabenheit
submarin | unterseeisch
submerser | sinken, untertauchen
submersion | Untertauchen
submission | Unterwerfung, Unterordnung
submitter | unterordnen, unterbreiten
submisser | unterwerfen, unter seine Botmäßigkeit bringen
subordinar | unterordnen
subordinat | untergeordnet
subordination | Unterordnung
subrider | lächeln
subrise | Lächeln
subrogar | jemanden in eines anderen Recht und Stelle setzen
subscrir | unterschreiben, abonnieren
subscrition | Unterschrift
subscritor | Unterzeichner. Abonnent
subscritura | Unterschrift
subsequent | aufeinanderfolgend, anschließend
subsequer | aufeinanderfolgend, sich anschließen
subsidiar | unterstützen mit Geld
subsidie | Hilfsgeld, Subvention
subsistentie | Subsistenz, Fortbestand
subsister | fortbestehen, in Kraft bleiben, seinen Unterhalt haben
substantial | substantiell
substantie | Stoff, Materie, Kern, Gehalt
substantiosi | substanzhaltig, substanziell
substantive | Substantiv, Hauptwort
substantivic | substantivisch
substantivisar | substantivieren
substituer | ersetzen, unterschieben, sich an die Stelle setzen
substitution | Ersetzung, Substitution
substoff | Futter (bei Kleidung)
substrecar | unterstreichen
substrecation | Unterstreichung
subtasse | Untertasse
subtegment | Estrich
subtene | Stütze
subtene-pectore | Büstenhalter
subtener | unterstützen, stützen, unterhalten, stärken, tragen
subtention | Unterstützung, Stützung
subterfuge | Ausflucht
subterran | unterirdisch
subtil | fein, zart, leicht eindringend, spitzfindig, subtil
subtilitá | Subtilität, Spitzfindigkeit
subtraer | abziehen, entziehen
subtration | Abziehen, Subtraktion
suburban | vorstädtisch, suburban
suburbe | Vorstadt
subvention | Zuschuss, Unterstützung, Subvention
subventionar | subventionieren, unterstützen
subversion | Umsturz, Subversion
subverter | umstürzen
subveste | Unterkleid
sucar | saugen
sucette | Schnuller
suc(c) | Saft
succeder | nachfolgen, aufeinanderfolgen
successar | Erfolg haben, gelingen
successar un exámine | eine Prüfung bestehen
successe | Erfolg
succession | Nachfolge
successsiv | nachfolgend, sukzessiv
successor | Nachfolger
successosi | erfolgreich
suciar | sich sorgen, sich kümmern
sucie | Sorge
sucon | Säugling
sucosi | saftig
sucrage | Süßigkeit
sucrar | zuckern
sucre | Zucker
sucrería | Konditorei, Zuckerbäcker
sucreríe | Zuckergebäck
sucrero | Zuckerbäcker, Konditor
sucriera | Zuckerrohrplantage
sucriere | Zuckerdose
sucrosi | zuckrig, pappsüß
sucumber | unterliegen
sucuore | Sauger
sucursar | helfen, beistehen
sucurse | Hilfe, Beistand
sucursor | Helfer
sucusse | Stoß, Erschütterung
sucusser | schütteln, erschüttern
sud | Süden
Sud-America | Südamerika
sudar | schwitzen
sudation | Schwitzen
sudic | südlich
Sud-Koréa | Südkorea
sudore | Schweiß
sudorific | schweißtreibend
Suebia | Schwaben
suer | nähen
sufflar | blasen
sufflé | Soufflé, Eierauflauf
sufflero | Bläser
suffrente | Leidender, Opfer
suffrentie | Leiden
suffrer | leiden
suficent | genügend, ausreichend
suficentie | Kompetenz, ausreichendes Vorhandensein
suficer | ausreichen, genügen
sufixe | Nachsilbe, Suffix
sufocant | erstickend
sufocar | ersticken
sufocation | Ersticken, Erstickung
sufocativ | ersticken
sufragette | Sufragette, Befürworter/in des Frauenwahlrechts
sufragiar | eine Wählerstimme haben
sufragie | Wählerstimme
suggester | eingeben, nahelegen
suggestion | Eingebung, Suggestion
suggestiv | suggestiv
suicid | Selbstmord-
suicidiar se | sich selbst töten, Selbstmord begehen
suicidie | Selbstmord
suita | Suite (Zimmerflucht, Gefolge)
sulca | Furche, Runzel
sulcar | eine Furche ziehen, runzeln
suldar | löten
suldero | Schweißer, Kesselflicker
suldatura | Lötmittel
sulfate | Sulfat
sulfite | Sulfit
súlfur | Schwefel
sulfuric | schwefelig
sulfuriera | Schwefelgrube
sultanatu | Sultanat
sultane | Sultan
summa | Summe, Betrag
summar | summieren, zusammenrechnen
summarium | Zusammenfassung
sumptuosi | prächtig, den Aufwand liebend, verschwenderisch
sumptuositá | Üppigkeit
suol | Boden, Diele
suol-gimnastica | Bodenturnen
sup | Suppe
supé | Abendessen
supear | Abend essen
súper | über
súper-mercate | Supermarkt
superabundantie | im Überfluss vorhanden sein
superabundar | im Überfluss vorhanden sein
superar | übertreffen, überragen
superb | hochmütig, prachtvoll, stolz
superbesse | Hochmut, Stolz
superbie | Hochmut, Stolz
superchargear | überladen
superficial | oberflächlich
superficialitá | Oberflächlichkeit
superficie | Oberfläche
superflú | überflüssig
superfluer | überfließen
superfluitá | Überflüssigkeit
supiere | Suppenteller, Terrine
superimposte | Zusatzsteuer, Sondersteuer
superintender | beaufsichtigen
superiori | höher gelegen, überlegen, Ober-
superioritá | Überlegenheit, Vorrang
superlative | Superlativ
supernatural | übernatürlich
supernumerari | überzählig
supernumerario | Statist, Zusatzperson
superpassar | übertreffen
superpassuar | überschreiten, über etwas hinwegschreiten
superposir | übereinanderstellen, herüber legen
superposition | Übereinanderstellen
superscrir | überschreiben
superscrition | Überschreibung
superspecter | überblicken
superspection | Überblick
superspectiv | überblickend
supersticie | Aberglaube
supersticiosi | abergläubisch
supertaxe | Aufpreis, Nachgebühr
supervider | übersehen, überwachen, beaufsichtigen
supervision | Überwachung, Beaufsichtigung, Supervision
superviver | überleben
superviventie | Überleben
supine | Supinum
suplantar | ausstechen, verdrängen
supleer | hinzufügen
suplement | Zuschlag, Zusatz
suplementari | zusätzlich
suplemention | Hinzufügung, Beifügung
suplicar | anflehen, inständig bitten
supliciar | martern, peinigen
suplicie | Marter, Seelenpein, Todesstrafe
suportar | unterstützen, stützen
suporte | Stütze, Unterlage, Träger
suposir | annehmen, voraussetzen
suposit | angeblich
suposition | Annahme, Voraussetzung
supositorie | Affenzäpfchen (med.)
supra | oben, oberhalb
de supra | herunter
suprem | höchst, im höchsten Grade
supremate | Supremat
supremitá | Vorrang
supresser | unterdrücken, streichen, auslassen
supression | Unterdrückung
supressiv | unterdrückend
supur | Eiter
supurar | eitern
sur | auf
sur un altru | aufeinander
